CLASS,START,STOP
MP,2006-02-06 05:00:00,2006-02-06 06:00:00
MP,2006-02-06 07:45:00,2006-02-06 08:40:00
MP,2006-02-06 22:30:00,2006-02-06 23:30:00
MP,2006-02-06 08:00:00,2006-02-06 09:00:00
MP,2006-02-07 13:10:00,2006-02-07 14:00:00
MP,2006-02-08 05:00:00,2006-02-08 06:00:00
MP,2006-02-08 11:45:00,2006-02-08 12:20:00
MP,2006-02-08 16:00:00,2006-02-08 17:00:00
MP,2006-02-19 04:30:00,2006-02-08 05:30:00
CSCa,2006-02-20 21:20:00,2006-02-20 22:00:00
CSCa,2006-02-21 04:45:00,2006-02-21 05:30:00
MP,2006-02-21 10:20:00,2006-02-21 11:00:00
MP,2006-02-21 11:20:00,2006-02-21 12:40:00
MP,2006-02-21 19:50:00,2006-02-21 20:30:00
CSCb,2006-02-23 07:45:00,2006-02-23 08:20:00
CSCa,2006-02-23 08:25:00,2006-02-23 09:00:00
CSCb,2006-02-26 14:00:00,2006-02-26 15:45:00
CSCa,2006-02-26 20:45:00,2006-02-26 23:00:00
CSCb,2006-02-27 09:00:00,2006-02-27 10:00:00
CSCb,2006-02-27 20:30:00,2006-02-27 21:30:00
CSCb,2006-02-28 06:45:00,2006-02-28 07:30:00
CSCa,2006-02-28 07:35:00,2006-02-28 08:40:00
CSCb,2006-02-28 08:50:00,2006-02-28 09:30:00
CSCb,2006-02-28 18:15:00,2006-02-28 19:15:00
CSCa,2006-02-28 19:16:00,2006-02-28 20:20:00
CSCb,2006-03-01 07:00:00,2006-03-01 08:00:00
CSCb,2006-03-01 16:15:00,2006-03-01 17:30:00
CSCb,2006-03-01 17:45:00,2006-03-01 18:30:00
CSCb,2006-03-03 02:30:00,2006-03-03 03:15:00
CSCb,2006-03-03 12:20:00,2006-03-03 13:10:00
CSCb,2006-03-04 10:45:00,2006-03-04 11:30:00
CSCb,2006-03-04 21:15:00,2006-03-04 22:40:00
MP,2006-03-04 22:45:00,2006-03-04 23:20:00
CSCb,2006-03-05 06:15:00,2006-03-05 07:00:00
MP,2006-03-05 07:50:00,2006-03-05 09:45:00
CSCb,2006-03-05 10:20:00,2006-03-05 11:10:00
CSCb,2006-03-05 16:20:00,2006-03-05 17:40:00
CSCb,2006-03-06 02:45:00,2006-03-06 03:30:00
CSCb,2006-03-06 04:50:00,2006-03-06 05:30:00
CSCb,2006-03-06 06:15:00,2006-03-06 07:00:00
CSCb,2006-03-06 12:30:00,2006-03-06 13:15:00
CSCb,2006-03-06 14:30:00,2006-03-06 15:15:00
CSCb,2006-03-06 16:30:00,2006-03-06 17:45:00
CSCb,2006-03-06 20:45:00,2006-03-06 21:30:00
CSCb,2006-03-07 03:30:00,2006-03-07 04:50:00
CSCb,2006-03-07 05:20:00,2006-03-07 06:00:00
