CLASS,START,STOP
MP,2006-01-05 13:00:00,2006-01-08 11:30:00
MP,2006-01-08 15:50:00,2006-01-08 22:30:00
CSCb,2006-01-09 06:40:00,2006-01-09 07:00:00
CSCb,2006-01-09 07:30:00,2006-01-09 08:10:00
CSCb,2006-01-09 10:55:00,2006-01-09 11:20:00
CSCb,2006-01-09 12:20:00,2006-01-09 12:55:00
CSCb,2006-01-09 14:30:00,2006-01-09 15:15:00
CSCb,2006-01-09 16:15:00,2006-01-09 16:45:00
CSCb,2006-01-10 09:10:00,2006-01-10 09:30:00
CSCb,2006-01-10 22:35:00,2006-01-10 22:55:00
CSCb,2006-01-11 03:10:00,2006-01-10 03:30:00
CSCb,2006-01-11 22:00:00,2006-01-11 23:20:00
CSCb,2006-01-11 23:55:00,2006-01-12 00:40:00
CSCb,2006-01-12 02:50:00,2006-01-12 03:30:00
CSCb,2006-01-12 08:00:00,2006-01-12 09:20:00
CSCb,2006-01-12 10:45:00,2006-01-12 11:40:00
CSCb,2006-01-12 13:45:00,2006-01-12 14:20:00
CSCb,2006-01-12 14:45:00,2006-01-12 15:20:00
CSCb,2006-01-12 15:40:00,2006-01-12 16:20:00
CSCb,2006-01-12 17:45:00,2006-01-12 18:30:00
CSCb,2006-01-12 20:30:00,2006-01-12 21:30:00
CSCb,2006-01-12 22:20:00,2006-01-12 23:20:00
CSCb,2006-01-12 23:40:00,2006-01-13 00:30:00
CSCb,2006-01-13 01:40:00,2006-01-13 02:20:00
CSCb,2006-01-13 02:50:00,2006-01-13 03:25:00
CSCb,2006-01-13 06:00:00,2006-01-13 07:00:00
CSCb,2006-01-13 07:30:00,2006-01-13 09:00:00
CSCb,2006-01-13 10:30:00,2006-01-13 13:00:00
CSCb,2006-01-13 18:00:00,2006-01-14 00:00:00
CSCb,2006-01-14 07:00:00,2006-01-14 11:30:00
CSCb,2006-01-14 13:15:00,2006-01-14 13:50:00
CSCb,2006-01-14 15:10:00,2006-01-14 16:10:00
CSCb,2006-01-14 16:30:00,2006-01-14 17:30:00
CSCb,2006-01-14 19:30:00,2006-01-14 20:00:00
CSCb,2006-01-14 20:45:00,2006-01-14 21:20:00
CSCb,2006-01-14 22:40:00,2006-01-15 01:15:00
CSCb,2006-01-15 06:20:00,2006-01-15 07:15:00
CSCb,2006-01-15 09:50:00,2006-01-15 10:45:00
CSCb,2006-01-18 19:05:00,2006-01-18 20:00:00
CSCb,2006-01-18 20:20:00,2006-01-18 20:45:00
CSCb,2006-01-18 23:20:00,2006-01-19 00:20:00
CSCb,2006-01-19 11:40:00,2006-01-19 12:15:00
CSCb,2006-01-19 12:30:00,2006-01-19 13:45:00
CSE,2006-01-20 05:00:00,2006-01-20 06:00:00
CSE,2006-01-20 06:00:00,2006-01-20 06:10:00
CSCb,2006-01-20 10:30:00,2006-01-20 18:10:00
CSCb,2006-01-20 22:30:00,2006-01-21 05:00:00
CSCb,2006-01-21 10:00:00,2006-01-21 15:20:00
CSCb,2006-01-21 22:00:00,2006-01-22 02:00:00
CSCb,2006-01-22 08:00:00,2006-01-22 15:00:00
CSCb,2006-01-22 21:30:00,2006-01-22 23:45:00
CSCb,2006-01-24 22:20:00,2006-01-25 01:00:00
MP,2006-01-25 02:00:00,2006-01-29 19:30:00
MP,2006-01-30 09:00:00,2006-01-31 01:00:00
MP,2006-01-31 08:00:00,2006-01-31 16:15:00
CSCb,2006-02-01 12:30:00,2006-02-01 13:15:00
MP,2006-02-02 09:30:00,2006-02-02 10:30:00
CSCb,2006-02-03 00:00:00,2006-02-03 02:45:00
MP,2006-02-03 21:00:00,2006-02-04 01:25:00
CSCb,2006-02-04 09:00:00,2006-02-04 12:20:00
