,NAME,LABEL
0,83810_ULY_OG,CSE
1,14592_ULY_OG,CSE
2,3278_ULY_OG,CSE
3,97196_ULY_OG,CSCb
4,36048_ULY_OG,CSE
5,32098_ULY_OG,CSE
6,29256_ULY_OG,CSCb
7,18289_ULY_OG,CSE
8,96530_ULY_OG,CSCb
9,13434_ULY_OG,CSE
10,88696_ULY_OG,CSE
11,97080_ULY_OG,CSCb
12,116939_ULY_OG,CSCb
13,71482_ULY_OG,CSCa
14,11395_ULY_OG,CSE
15,77397_ULY_OG,CSE
16,55302_ULY_OG,CSE
17,4165_ULY_OG,CSE
18,3905_ULY_OG,CSE
19,12280_ULY_OG,CSE
20,28657_ULY_OG,CSCb
21,30495_ULY_OG,False
22,66237_ULY_OG,False
23,78907_ULY_OG,CSE
24,3478_ULY_OG,CSE
25,73563_ULY_OG,CSCa
26,26062_ULY_OG,CSCb
27,93850_ULY_OG,CSE
28,85181_ULY_OG,CSE
29,91924_ULY_OG,CSE
30,71426_ULY_OG,CSCa
31,54987_ULY_OG,CSE
32,28893_ULY_OG,CSCb
33,58878_ULY_OG,CSE
34,77236_ULY_OG,CSE
35,36463_ULY_OG,CSE
36,106093_ULY_OG,CSE
37,113940_ULY_OG,CSCb
38,851_ULY_OG,CSE
39,99458_ULY_OG,CSCb
40,105620_ULY_OG,CSE
41,20926_ULY_OG,CSE
42,91506_ULY_OG,CSE
43,55392_ULY_OG,CSE
44,44597_ULY_OG,CSE
45,36421_ULY_OG,CSE
46,20379_ULY_OG,CSE
47,28221_ULY_OG,CSCb
48,125463_ULY_OG,CSE
49,100072_ULY_OG,CSCb
50,44118_ULY_OG,CSE
51,13396_ULY_OG,CSE
52,12156_ULY_OG,CSE
53,49797_ULY_OG,CSE
54,12676_ULY_OG,CSE
55,47052_ULY_OG,CSE
56,111082_ULY_OG,CSE
57,45082_ULY_OG,CSE
58,79131_ULY_OG,CSE
59,34671_ULY_OG,CSE
60,105791_ULY_OG,CSE
61,5695_ULY_OG,CSE
62,95647_ULY_OG,False
63,60217_ULY_OG,CSE
64,70284_ULY_OG,CSCa
65,16361_ULY_OG,CSE
66,120887_ULY_OG,CSCb
67,49615_ULY_OG,CSE
68,10328_ULY_OG,CSE
69,72357_ULY_OG,CSCa
70,38427_ULY_OG,CSE
71,108711_ULY_OG,CSE
72,82397_ULY_OG,CSE
73,81070_ULY_OG,CSE
74,116057_ULY_OG,CSCb
75,112945_ULY_OG,False
76,47400_ULY_OG,CSE
77,75674_ULY_OG,CSCa
78,25203_ULY_OG,CSCb
79,92349_ULY_OG,CSE
80,9116_ULY_OG,CSE
81,6006_ULY_OG,CSE
82,86673_ULY_OG,CSE
83,29871_ULY_OG,False
84,101327_ULY_OG,False
85,37930_ULY_OG,CSE
86,10458_ULY_OG,CSE
87,112108_ULY_OG,CSE
88,30512_ULY_OG,False
89,113571_ULY_OG,CSCb
90,13238_ULY_OG,CSE
91,49823_ULY_OG,CSE
92,36434_ULY_OG,CSE
93,59429_ULY_OG,CSE
94,83320_ULY_OG,CSE
95,109328_ULY_OG,CSE
96,47819_ULY_OG,CSE
97,21319_ULY_OG,CSE
98,48520_ULY_OG,CSE
99,46566_ULY_OG,CSE
100,27460_ULY_OG,False
101,87841_ULY_OG,CSE
102,34993_ULY_OG,CSE
103,91988_ULY_OG,CSE
104,122769_ULY_OG,CSE
105,89593_ULY_OG,CSE
106,84939_ULY_OG,CSE
107,9358_ULY_OG,CSE
108,79840_ULY_OG,CSE
109,83227_ULY_OG,CSE
110,22431_ULY_OG,CSE
111,70010_ULY_OG,CSCa
112,95568_ULY_OG,False
113,32087_ULY_OG,CSE
114,21417_ULY_OG,CSE
115,60589_ULY_OG,CSE
116,49735_ULY_OG,CSE
117,35382_ULY_OG,CSE
118,121292_ULY_OG,CSCb
119,83886_ULY_OG,CSE
120,90198_ULY_OG,CSE
121,73000_ULY_OG,CSCa
122,28785_ULY_OG,CSCb
123,89733_ULY_OG,CSE
124,42504_ULY_OG,CSE
125,110474_ULY_OG,CSE
126,100704_ULY_OG,False
127,101711_ULY_OG,CSE
128,7331_ULY_OG,CSE
129,30021_ULY_OG,False
130,107715_ULY_OG,CSE
131,4207_ULY_OG,CSE
132,105518_ULY_OG,CSE
133,41347_ULY_OG,CSE
134,52581_ULY_OG,CSE
135,35093_ULY_OG,CSE
136,8675_ULY_OG,CSE
137,27653_ULY_OG,False
138,119686_ULY_OG,CSCb
139,123589_ULY_OG,CSE
140,74341_ULY_OG,CSCa
141,114867_ULY_OG,CSCb
142,94098_ULY_OG,CSE
143,41245_ULY_OG,CSE
144,27869_ULY_OG,CSCb
145,85909_ULY_OG,CSE
146,65435_ULY_OG,CSE
147,51856_ULY_OG,CSE
148,115957_ULY_OG,CSCb
149,119871_ULY_OG,CSCb
150,84259_ULY_OG,CSE
151,60142_ULY_OG,CSE
152,18726_ULY_OG,CSE
153,34718_ULY_OG,CSE
154,18301_ULY_OG,CSE
155,32325_ULY_OG,CSE
156,97647_ULY_OG,CSCb
157,73579_ULY_OG,CSCa
158,70644_ULY_OG,CSCa
159,34438_ULY_OG,CSE
160,97912_ULY_OG,CSCb
161,76622_ULY_OG,False
162,56155_ULY_OG,CSE
163,117679_ULY_OG,CSCb
164,76484_ULY_OG,False
165,52350_ULY_OG,CSE
166,47447_ULY_OG,CSE
167,28746_ULY_OG,CSCb
168,18131_ULY_OG,CSE
169,66784_ULY_OG,False
170,64686_ULY_OG,CSE
171,11915_ULY_OG,CSE
172,99061_ULY_OG,CSCb
173,6175_ULY_OG,CSE
174,112866_ULY_OG,False
175,14371_ULY_OG,CSE
176,20033_ULY_OG,CSE
177,82240_ULY_OG,CSE
178,20969_ULY_OG,CSE
