2006 068 03 34 31.500       -25.388       -40.817         5.821        48.419         1.100        -0.600         0.593         1.387
2006 068 03 39 31.500       -25.383       -40.819         5.824        48.419         1.101        -0.599         0.593         1.387
2006 068 03 44 31.500       -25.377       -40.822         5.827        48.419         1.102        -0.598         0.593         1.387
2006 068 03 49 31.500       -25.372       -40.825         5.830        48.419         1.103        -0.596         0.593         1.387
2006 068 03 54 31.500       -25.366       -40.828         5.833        48.419         1.103        -0.595         0.593         1.387
2006 068 03 59 31.500       -25.361       -40.831         5.836        48.419         1.104        -0.594         0.592         1.387
2006 068 04 04 31.500       -25.356       -40.834         5.839        48.419         1.105        -0.593         0.592         1.387
2006 068 04 09 31.500       -25.350       -40.837         5.841        48.419         1.105        -0.592         0.592         1.387
2006 068 04 14 31.500       -25.345       -40.840         5.844        48.419         1.106        -0.591         0.592         1.387
2006 068 04 19 31.500       -25.339       -40.843         5.847        48.419         1.107        -0.590         0.592         1.387
2006 068 04 24 31.500       -25.334       -40.846         5.850        48.419         1.107        -0.589         0.592         1.387
2006 068 04 29 31.500       -25.328       -40.848         5.853        48.419         1.108        -0.587         0.592         1.387
2006 068 04 34 31.500       -25.323       -40.851         5.856        48.419         1.109        -0.586         0.591         1.387
2006 068 04 39 31.500       -25.318       -40.854         5.859        48.419         1.110        -0.585         0.591         1.387
2006 068 04 44 31.500       -25.312       -40.857         5.862        48.419         1.110        -0.584         0.591         1.387
2006 068 04 49 31.500       -25.307       -40.860         5.865        48.419         1.111        -0.583         0.591         1.387
2006 068 04 54 31.500       -25.301       -40.863         5.868        48.418         1.112        -0.582         0.591         1.387
2006 068 04 59 31.500       -25.296       -40.866         5.871        48.418         1.112        -0.581         0.591         1.387
2006 068 05 04 31.500       -25.290       -40.868         5.874        48.418         1.113        -0.580         0.590         1.387
2006 068 05 09 31.500       -25.285       -40.871         5.877        48.418         1.114        -0.578         0.590         1.387
2006 068 05 14 31.500       -25.279       -40.874         5.880        48.418         1.114        -0.577         0.590         1.387
2006 068 05 19 31.500       -25.274       -40.877         5.883        48.418         1.115        -0.576         0.590         1.387
2006 068 05 24 31.500       -25.269       -40.880         5.886        48.418         1.116        -0.575         0.590         1.387
2006 068 05 29 31.500       -25.263       -40.882         5.889        48.418         1.117        -0.574         0.590         1.387
2006 068 05 34 31.500       -25.258       -40.885         5.891        48.418         1.117        -0.573         0.589         1.387
2006 068 05 39 31.500       -25.252       -40.888         5.894        48.417         1.118        -0.572         0.589         1.387
2006 068 05 44 31.500       -25.247       -40.891         5.897        48.417         1.119        -0.571         0.589         1.387
2006 068 05 49 31.500       -25.241       -40.894         5.900        48.417         1.119        -0.569         0.589         1.387
2006 068 05 54 31.500       -25.236       -40.896         5.903        48.417         1.120        -0.568         0.589         1.387
2006 068 05 59 31.500       -25.230       -40.899         5.906        48.417         1.121        -0.567         0.589         1.387
2006 068 06 04 31.500       -25.225       -40.902         5.909        48.417         1.121        -0.566         0.588         1.387
2006 068 06 09 31.500       -25.219       -40.905         5.912        48.416         1.122        -0.565         0.588         1.387
2006 068 06 14 31.500       -25.214       -40.907         5.915        48.416         1.123        -0.564         0.588         1.387
2006 068 06 19 31.500       -25.208       -40.910         5.918        48.416         1.123        -0.563         0.588         1.387
2006 068 06 24 31.500       -25.203       -40.913         5.921        48.416         1.124        -0.562         0.588         1.387
2006 068 06 29 31.500       -25.197       -40.916         5.924        48.416         1.125        -0.560         0.588         1.387
2006 068 06 34 31.500       -25.192       -40.918         5.927        48.415         1.126        -0.559         0.587         1.387
2006 068 06 39 31.500       -25.186       -40.921         5.930        48.415         1.126        -0.558         0.587         1.387
2006 068 06 44 31.500       -25.181       -40.924         5.932        48.415         1.127        -0.557         0.587         1.387
2006 068 06 49 31.500       -25.175       -40.927         5.935        48.415         1.128        -0.556         0.587         1.387
2006 068 06 54 31.500       -25.170       -40.929         5.938        48.415         1.128        -0.555         0.587         1.388
2006 068 06 59 31.500       -25.164       -40.932         5.941        48.414         1.129        -0.554         0.587         1.388
2006 068 07 04 31.500       -25.159       -40.935         5.944        48.414         1.130        -0.553         0.586         1.388
2006 068 07 09 31.500       -25.153       -40.937         5.947        48.414         1.130        -0.551         0.586         1.388
2006 068 07 14 31.500       -25.147       -40.940         5.950        48.414         1.131        -0.550         0.586         1.388
2006 068 07 19 31.500       -25.142       -40.943         5.953        48.413         1.132        -0.549         0.586         1.388
2006 068 07 24 31.500       -25.136       -40.945         5.956        48.413         1.133        -0.548         0.586         1.388
2006 068 07 29 31.500       -25.131       -40.948         5.959        48.413         1.133        -0.547         0.586         1.388
2006 068 07 34 31.500       -25.125       -40.951         5.962        48.413         1.134        -0.546         0.585         1.388
2006 068 07 39 31.500       -25.120       -40.953         5.965        48.412         1.135        -0.545         0.585         1.388
2006 068 07 44 31.500       -25.114       -40.956         5.967        48.412         1.135        -0.543         0.585         1.388
2006 068 07 49 31.500       -25.109       -40.959         5.970        48.412         1.136        -0.542         0.585         1.388
2006 068 07 54 31.500       -25.103       -40.961         5.973        48.411         1.137        -0.541         0.585         1.388
2006 068 07 59 31.500       -25.097       -40.964         5.976        48.411         1.137        -0.540         0.585         1.388
2006 068 08 04 31.500       -25.092       -40.967         5.979        48.411         1.138        -0.539         0.584         1.388
2006 068 08 09 31.500       -25.086       -40.969         5.982        48.411         1.139        -0.538         0.584         1.388
2006 068 08 14 31.500       -25.081       -40.972         5.985        48.410         1.139        -0.537         0.584         1.388
2006 068 08 19 31.500       -25.075       -40.974         5.988        48.410         1.140        -0.536         0.584         1.388
2006 068 08 24 31.500       -25.070       -40.977         5.991        48.410         1.141        -0.534         0.584         1.389
2006 068 08 29 31.500       -25.064       -40.980         5.994        48.409         1.142        -0.533         0.584         1.389
2006 068 08 34 31.500       -25.058       -40.982         5.997        48.409         1.142        -0.532         0.583         1.389
2006 068 08 39 31.500       -25.053       -40.985         5.999        48.409         1.143        -0.531         0.583         1.389
2006 068 08 44 31.500       -25.047       -40.987         6.002        48.408         1.144        -0.530         0.583         1.389
2006 068 08 49 31.500       -25.042       -40.990         6.005        48.408         1.144        -0.529         0.583         1.389
2006 068 08 54 31.500       -25.036       -40.993         6.008        48.408         1.145        -0.528         0.583         1.389
2006 068 08 59 31.500       -25.030       -40.995         6.011        48.407         1.146        -0.527         0.583         1.389
2006 068 09 04 31.500       -25.025       -40.998         6.014        48.407         1.146        -0.525         0.582         1.389
2006 068 09 09 31.500       -25.019       -41.000         6.017        48.406         1.147        -0.524         0.582         1.389
2006 068 09 14 31.500       -25.014       -41.003         6.020        48.406         1.148        -0.523         0.582         1.389
2006 068 09 19 31.500       -25.008       -41.005         6.023        48.406         1.148        -0.522         0.582         1.389
2006 068 09 24 31.500       -25.002       -41.008         6.026        48.405         1.149        -0.521         0.582         1.389
2006 068 09 29 31.500       -24.997       -41.010         6.028        48.405         1.150        -0.520         0.582         1.389
2006 068 09 34 31.500       -24.991       -41.013         6.031        48.404         1.150        -0.519         0.581         1.390
2006 068 09 39 31.500       -24.985       -41.015         6.034        48.404         1.151        -0.517         0.581         1.390
2006 068 09 44 31.500       -24.980       -41.018         6.037        48.404         1.152        -0.516         0.581         1.390
2006 068 09 49 31.500       -24.974       -41.020         6.040        48.403         1.153        -0.515         0.581         1.390
2006 068 09 54 31.500       -24.968       -41.023         6.043        48.403         1.153        -0.514         0.581         1.390
2006 068 09 59 31.500       -24.963       -41.026         6.046        48.402         1.154        -0.513         0.581         1.390
2006 068 10 04 31.500       -24.957       -41.028         6.049        48.402         1.155        -0.512         0.580         1.390
2006 068 10 09 31.500       -24.952       -41.030         6.052        48.401         1.155        -0.511         0.580         1.390
2006 068 10 14 31.500       -24.946       -41.033         6.054        48.401         1.156        -0.510         0.580         1.390
2006 068 10 19 31.500       -24.940       -41.035         6.057        48.401         1.157        -0.508         0.580         1.390
2006 068 10 24 31.500       -24.935       -41.038         6.060        48.400         1.157        -0.507         0.580         1.390
2006 068 10 29 31.500       -24.929       -41.040         6.063        48.400         1.158        -0.506         0.580         1.390
2006 068 10 34 31.500       -24.923       -41.043         6.066        48.399         1.159        -0.505         0.579         1.391
2006 068 10 39 31.500       -24.917       -41.045         6.069        48.399         1.159        -0.504         0.579         1.391
2006 068 10 44 31.500       -24.912       -41.048         6.072        48.398         1.160        -0.503         0.579         1.391
2006 068 10 49 31.500       -24.906       -41.050         6.075        48.398         1.161        -0.502         0.579         1.391
2006 068 10 54 31.500       -24.900       -41.053         6.078        48.397         1.161        -0.501         0.579         1.391
2006 068 10 59 31.500       -24.895       -41.055         6.080        48.397         1.162        -0.499         0.579         1.391
2006 068 11 04 31.500       -24.889       -41.058         6.083        48.396         1.163        -0.498         0.578         1.391
2006 068 11 09 31.500       -24.883       -41.060         6.086        48.396         1.164        -0.497         0.578         1.391
2006 068 11 14 31.500       -24.878       -41.062         6.089        48.395         1.164        -0.496         0.578         1.391
2006 068 11 19 31.500       -24.872       -41.065         6.092        48.395         1.165        -0.495         0.578         1.391
2006 068 11 24 31.500       -24.866       -41.067         6.095        48.394         1.166        -0.494         0.578         1.392
2006 068 11 29 31.500       -24.861       -41.070         6.098        48.394         1.166        -0.493         0.578         1.392
2006 068 11 34 31.500       -24.855       -41.072         6.101        48.393         1.167        -0.491         0.577         1.392
2006 068 11 39 31.500       -24.849       -41.074         6.103        48.392         1.168        -0.490         0.577         1.392
2006 068 11 44 31.500       -24.843       -41.077         6.106        48.392         1.168        -0.489         0.577         1.392
2006 068 11 49 31.500       -24.838       -41.079         6.109        48.391         1.169        -0.488         0.577         1.392
2006 068 11 54 31.500       -24.832       -41.081         6.112        48.391         1.170        -0.487         0.577         1.392
2006 068 11 59 31.500       -24.826       -41.084         6.115        48.390         1.170        -0.486         0.577         1.392
2006 068 12 04 31.500       -24.820       -41.086         6.118        48.390         1.171        -0.485         0.576         1.392
2006 068 12 09 31.500       -24.815       -41.089         6.121        48.389         1.172        -0.484         0.576         1.392
2006 068 12 14 31.500       -24.809       -41.091         6.124        48.388         1.172        -0.482         0.576         1.393
2006 068 12 19 31.500       -24.803       -41.093         6.126        48.388         1.173        -0.481         0.576         1.393
2006 068 12 24 31.500       -24.797       -41.096         6.129        48.387         1.174        -0.480         0.576         1.393
2006 068 12 29 31.500       -24.792       -41.098         6.132        48.387         1.175        -0.479         0.576         1.393
2006 068 12 34 31.500       -24.786       -41.100         6.135        48.386         1.175        -0.478         0.575         1.393
2006 068 12 39 31.500       -24.780       -41.103         6.138        48.385         1.176        -0.477         0.575         1.393
2006 068 12 44 31.500       -24.774       -41.105         6.141        48.385         1.177        -0.476         0.575         1.393
2006 068 12 49 31.500       -24.769       -41.107         6.144        48.384         1.177        -0.474         0.575         1.393
2006 068 12 54 31.500       -24.763       -41.109         6.146        48.384         1.178        -0.473         0.575         1.394
2006 068 12 59 31.500       -24.757       -41.112         6.149        48.383         1.179        -0.472         0.575         1.394
2006 068 13 04 31.500       -24.751       -41.114         6.152        48.382         1.179        -0.471         0.574         1.394
2006 068 13 09 31.500       -24.746       -41.116         6.155        48.382         1.180        -0.470         0.574         1.394
